symbol,fold_id,allowed_bar_pct,entry_pass_rate,trades_per_fold,zero_trade_folds_pct
AUDUSD,0,0.326,0.0,0.0,1.0
AUDUSD,1,0.152,0.0,0.0,1.0
AUDUSD,2,0.52,0.2,1.0,0.0
AUDUSD,3,0.616,0.3333333333333333,1.0,0.0
AUDUSD,4,0.692,0.0,0.0,1.0
AUDUSD,5,0.374,0.25,1.0,0.0
AUDUSD,6,0.968,0.0,0.0,1.0
AUDUSD,7,0.968,1.0,2.0,0.0
AUDUSD,8,1.0,1.0,3.0,0.0
AUDUSD,9,1.0,1.0,3.0,0.0
AUDUSD,10,0.994,1.0,3.0,0.0
AUDUSD,11,0.78,0.0,0.0,1.0
AUDUSD,12,0.052,0.5,1.0,0.0
AUDUSD,13,0.026,0.5,2.0,0.0
AUDUSD,14,0.04,0.0,0.0,1.0
EURUSD,0,0.118,0.5555555555555556,3.0,0.0
EURUSD,1,0.096,0.6,3.0,0.0
EURUSD,2,0.066,0.8,2.0,0.0
EURUSD,3,0.056,0.75,1.0,0.0
EURUSD,4,0.076,0.4,1.0,0.0
EURUSD,5,0.074,0.0,0.0,1.0
EURUSD,6,0.056,0.2222222222222222,1.0,0.0
EURUSD,7,0.616,0.8,2.0,0.0
EURUSD,8,0.15,0.0,0.0,1.0
EURUSD,9,0.132,0.42857142857142855,1.0,0.0
EURUSD,10,0.898,0.3333333333333333,1.0,0.0
EURUSD,11,0.922,0.0,0.0,1.0
EURUSD,12,0.85,0.2857142857142857,0.0,1.0
EURUSD,13,0.936,0.0,0.0,1.0
EURUSD,14,0.346,0.0,0.0,1.0
GBPUSD,0,0.292,0.5,2.0,0.0
GBPUSD,1,0.902,0.6,3.0,0.0
GBPUSD,2,0.722,0.4,1.0,0.0
GBPUSD,3,0.426,0.5833333333333334,4.0,0.0
GBPUSD,4,0.312,0.16666666666666666,1.0,0.0
GBPUSD,5,0.742,0.7142857142857143,3.0,0.0
GBPUSD,6,0.826,0.2222222222222222,1.0,0.0
GBPUSD,7,0.128,0.0,0.0,1.0
GBPUSD,8,0.484,0.5,3.0,0.0
GBPUSD,9,0.802,0.2857142857142857,0.0,1.0
GBPUSD,10,0.508,0.3,2.0,0.0
GBPUSD,11,0.916,0.8571428571428571,4.0,0.0
GBPUSD,12,0.248,0.5714285714285714,3.0,0.0
GBPUSD,13,0.06,0.0,0.0,1.0
GBPUSD,14,0.002,0.125,1.0,0.0
AUDUSD,SUMMARY,0.5671999999999998,0.38555555555555554,1.1333333333333333,0.4
EURUSD,SUMMARY,0.3594666666666667,0.34502645502645507,1.0,0.4
GBPUSD,SUMMARY,0.4913333333333333,0.38838624338624333,1.8666666666666667,0.2
ALL,SUMMARY,0.4726666666666667,0.37298941798941804,1.3333333333333333,0.3333333333333333
