symbol,fold_id,trades_per_fold,effective_trade_coverage,zero_trade_folds_pct
AUDUSD,0,4.0,1.0,0.0
AUDUSD,1,0.0,0.0,1.0
AUDUSD,2,5.0,1.0,0.0
AUDUSD,3,3.0,1.0,0.0
AUDUSD,4,5.0,1.0,0.0
AUDUSD,5,4.0,1.0,0.0
AUDUSD,6,2.0,1.0,0.0
AUDUSD,7,2.0,1.0,0.0
AUDUSD,8,3.0,1.0,0.0
AUDUSD,9,3.0,1.0,0.0
AUDUSD,10,3.0,1.0,0.0
AUDUSD,11,3.0,1.0,0.0
AUDUSD,12,2.0,1.0,0.0
AUDUSD,13,4.0,1.0,0.0
AUDUSD,14,1.0,1.0,0.0
EURUSD,0,5.0,0.8333333333333334,0.0
EURUSD,1,5.0,1.0,0.0
EURUSD,2,3.0,1.0,0.0
EURUSD,3,2.0,1.0,0.0
EURUSD,4,4.0,1.0,0.0
EURUSD,5,0.0,0.0,1.0
EURUSD,6,5.0,0.8333333333333334,0.0
EURUSD,7,3.0,1.0,0.0
EURUSD,8,3.0,1.0,0.0
EURUSD,9,5.0,1.0,0.0
EURUSD,10,3.0,1.0,0.0
EURUSD,11,3.0,1.0,0.0
EURUSD,12,4.0,1.0,0.0
EURUSD,13,2.0,1.0,0.0
EURUSD,14,3.0,1.0,0.0
GBPUSD,0,5.0,1.0,0.0
GBPUSD,1,5.0,1.0,0.0
GBPUSD,2,3.0,1.0,0.0
GBPUSD,3,5.0,0.7142857142857143,0.0
GBPUSD,4,4.0,1.0,0.0
GBPUSD,5,5.0,1.0,0.0
GBPUSD,6,5.0,0.8333333333333334,0.0
GBPUSD,7,5.0,1.0,0.0
GBPUSD,8,4.0,1.0,0.0
GBPUSD,9,4.0,1.0,0.0
GBPUSD,10,5.0,0.8333333333333334,0.0
GBPUSD,11,4.0,1.0,0.0
GBPUSD,12,5.0,1.0,0.0
GBPUSD,13,3.0,1.0,0.0
GBPUSD,14,5.0,0.7142857142857143,0.0
AUDUSD,SUMMARY,2.933333333333333,0.9333333333333333,0.06666666666666667
EURUSD,SUMMARY,3.3333333333333335,0.9111111111111112,0.06666666666666667
GBPUSD,SUMMARY,4.466666666666667,0.9396825396825397,0.0
ALL,SUMMARY,3.577777777777778,0.9280423280423281,0.044444444444444446
