feature,threshold,threshold_percentile,direction
early_range_expansion,1.4868458020083664,20,lt
early_range_expansion,1.4868458020083664,20,gt
early_range_expansion,1.5637967914894548,30,lt
early_range_expansion,1.5637967914894548,30,gt
early_range_expansion,1.6195590850151227,40,lt
early_range_expansion,1.6195590850151227,40,gt
early_range_expansion,1.6446718407144383,50,lt
early_range_expansion,1.6446718407144383,50,gt
early_range_expansion,1.7443765790731374,60,lt
early_range_expansion,1.7443765790731374,60,gt
early_range_expansion,1.9175697347718823,70,lt
early_range_expansion,1.9175697347718823,70,gt
early_range_expansion,2.1442622586757225,80,lt
early_range_expansion,2.1442622586757225,80,gt
early_return_3,-0.00039273765475167366,20,lt
early_return_3,-0.00039273765475167366,20,gt
early_return_3,-0.00024086979360338212,30,lt
early_return_3,-0.00024086979360338212,30,gt
early_return_3,0.0001508833275107868,40,lt
early_return_3,0.0001508833275107868,40,gt
early_return_3,0.0003095423975598144,50,lt
early_return_3,0.0003095423975598144,50,gt
early_return_3,0.00034326993668098993,60,lt
early_return_3,0.00034326993668098993,60,gt
early_return_3,0.0006783877720493159,70,lt
early_return_3,0.0006783877720493159,70,gt
early_return_3,0.001121290867747593,80,lt
early_return_3,0.001121290867747593,80,gt
early_mfe,0.00024158843026180567,20,lt
early_mfe,0.00024158843026180567,20,gt
early_mfe,0.00040570314312026774,30,lt
early_mfe,0.00040570314312026774,30,gt
early_mfe,0.0006492697273771117,40,lt
early_mfe,0.0006492697273771117,40,gt
early_mfe,0.0009810548311071326,50,lt
early_mfe,0.0009810548311071326,50,gt
early_mfe,0.0011141182767642748,60,lt
early_mfe,0.0011141182767642748,60,gt
early_mfe,0.001344019512714257,70,lt
early_mfe,0.001344019512714257,70,gt
early_mfe,0.0016587576415185564,80,lt
early_mfe,0.0016587576415185564,80,gt
early_return_1,-0.00042987988154408185,20,lt
early_return_1,-0.00042987988154408185,20,gt
early_return_1,-0.00022332702567584573,30,lt
early_return_1,-0.00022332702567584573,30,gt
early_return_1,-7.65069734609547e-05,40,lt
early_return_1,-7.65069734609547e-05,40,gt
early_return_1,0.00015539784832679926,50,lt
early_return_1,0.00015539784832679926,50,gt
early_return_1,0.00042215832251035756,60,lt
early_return_1,0.00042215832251035756,60,gt
early_return_1,0.0006703458010844932,70,lt
early_return_1,0.0006703458010844932,70,gt
early_return_1,0.0008388802259806649,80,lt
early_return_1,0.0008388802259806649,80,gt
early_mae,0.0002315408883053341,20,lt
early_mae,0.0002315408883053341,20,gt
early_mae,0.00027094595087548575,30,lt
early_mae,0.00027094595087548575,30,gt
early_mae,0.00031382362383050523,40,lt
early_mae,0.00031382362383050523,40,gt
early_mae,0.0004303155326774788,50,lt
early_mae,0.0004303155326774788,50,gt
early_mae,0.0005850581970555465,60,lt
early_mae,0.0005850581970555465,60,gt
early_mae,0.0007986805918837987,70,lt
early_mae,0.0007986805918837987,70,gt
early_mae,0.0011769703657027398,80,lt
early_mae,0.0011769703657027398,80,gt
