feature,correlation_with_sharpe,mean_positive_folds,mean_negative_folds,difference
trend_variance_ratio,0.2837738453088522,4.005077009641936,3.6584770321693045,0.3465999774726316
avg_adx,0.2720408053388714,28.35224655693723,26.233444990253794,2.1188015666834374
pct_bars_adx_gt_25,0.17195934460695733,0.5323529411764706,0.46985714285714286,0.06249579831932772
avg_atr_norm,0.11800131324771886,0.0009840022072963943,0.0009642683665929618,1.973384070343251e-05
avg_return_autocorrelation,0.11704942410676043,0.014265949329898178,0.003052807267930488,0.01121314206196769
atr_percentile_std,0.0551896185628116,0.2993202320818947,0.29133571058695124,0.007984521494943442
pct_bars_low_vol,0.027165158838087497,0.3311764705882353,0.31042857142857144,0.020747899159663852
avg_bar_range,0.011327526663327325,0.0011979354685890957,0.0011988422067823214,-9.067381932256844e-07
atr_percentile_mean,-0.04175995849860571,0.4846386554621849,0.49767517006802725,-0.013036514605842375
range_ratio,-0.045696240305317944,1.0057271423920997,1.0059981628203725,-0.0002710204282727613
pct_bars_high_vol,-0.050777214048236055,0.2943529411764706,0.3035,-0.009147058823529397
