parameter_name,EURUSD_value,GBPUSD_value,AUDUSD_value,alignment_score
breakout_strength_atr_mult,0.3,0.3,0.4,0.8999999999999999
confirmation_bars,2,3,2,0.6666666666666667
dynamic_cooldown_by_vol,True,True,False,0.6666666666666666
expansion_lookback,12,12,12,1.0
expansion_threshold,1.02,1.02,1.1,0.9272727272727272
extension_max_holding_bars,160,160,160,1.0
extension_stop_multiplier,2.4,2.4,3.0,0.7999999999999999
extension_trigger_atr_multiple,1.8,2.5,2.5,0.72
high_vol_cooldown_mult,2.0,1.2,2.0,0.6
lookback,30,30,30,1.0
max_holding_bars,72,72,72,1.0
min_bars_between_trades,20,24,30,0.6666666666666667
partial_take_profit_rr,1.6,1.0,0.0,0.0
partial_take_profit_size,0.5,0.25,0.25,0.75
retest_entry_mode,False,False,False,1.0
trailing_stop_atr_mult,2.2,1.8,1.4,0.6363636363636362
velocity_lookback,4,4,6,0.6666666666666667
velocity_threshold,0.8,1.0,1.0,0.8
vol_compression_max_pct,0.4,0.5,0.4,0.9
vol_contraction_exit_mult,0.8,0.8,0.8,1.0
vol_contraction_window,20,20,20,1.0
vol_exit_pct_rank_threshold,0.15,0.22,0.15,0.9299999999999999
winner_extension_enabled,False,False,True,0.6666666666666666
